site,lon,lat,Prob4h,Prob2h,Prob1h,Prob30min,Prob15min
ARCHIOUEST,3.856247,43.636798,0.7359,0.7545,0.8201,0.8092,0.7252
Mse,3.8652610000000003,43.636117,0.6592,0.6866,0.7641,0.7397,0.673
CRBM,3.865636,43.637565,0.674,0.7105,0.7819,0.7747,0.6887
CEFE,3.862,43.637997,0.6543,0.654,0.7218,0.7136,0.5763
CHU1,3.852183,43.628890000000006,nan,nan,nan,nan,nan
CHU2,3.8530309999999997,43.629558,nan,nan,nan,nan,nan
CHU3,3.8506519999999997,43.630649,nan,nan,nan,nan,nan
CHU4,3.851633,43.630649,nan,nan,nan,nan,nan
CHU5,3.8502910000000004,43.632465,nan,nan,nan,nan,nan
CHU6,3.8494330000000003,43.632913,nan,nan,nan,nan,nan
CHU7,3.8549019999999996,43.630112,nan,nan,nan,nan,nan
CNRS,3.8652279999999997,43.638624,0.7779,0.8203,0.8708,0.8674,0.7978
IEM,3.864156,43.636195,0.0725,0.1115,0.0382,nan,nan
Polytech,3.862627,43.632598,0.0938,nan,nan,nan,nan
UM,3.8683080000000003,43.631135,nan,nan,nan,nan,nan
UM35,3.860525,43.632878000000005,nan,nan,nan,nan,nan
Hydropolis,3.8595589999999995,43.621241,nan,nan,nan,nan,nan
RueBrives,3.8643870000000002,43.62334,nan,nan,nan,nan,nan
CINES,3.8424099999999997,43.6358,nan,nan,nan,nan,nan
