pluvio,a,b,c
ARCHIEST,0.0008,1.0761,0
CBGP,0.0008,1.0761,0
ARCHIOUEST,0.0008,1.0761,0
CRBM,0.0008,1.0761,0
CEFE,0.0008,1.0761,0
CHU1,0.0008,1.0761,0
CHU2,0.0008,1.0761,0
CHU3,0.0008,1.0761,0
CHU4,0.0008,1.0761,0
CHU5,0.0008,1.0761,0
CHU6,0.0008,1.0761,0
CHU7,0.0008,1.0761,0
CNRS,0.0008,1.0761,0
IEM,0.0008,1.0761,0
Mse,0.0008,1.0761,0
MSE,0.0008,1.0761,0
Polytech,0.0008,1.0761,0
UM,0.0008,1.0761,0
UM35,0.0008,1.0761,0
Hydropolis,0.0008,1.0761,0
RueBrives,0.0008,1.0761,0
Rue_Brives,0.0008,1.0761,0
CINES,0.0008,1.0761,0
